,Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,State
496,FIELD_12,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Food, hospitality and personal services (%)",4.5,,4.4,,,,,4.4,,,New South Wales
497,FIELD_13,Non-school qualification: field of study - Persons aged 15 years and over - Census,Mixed field programmes (%),0.1,,0.3,,,,,0.2,,,New South Wales
498,FIELD_15,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study inadequately described (%),1.1,,1.2,,,,,1.4,,,New South Wales
499,FIELD_16,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study not stated (%),16.6,,14.9,,,,,12.4,,,New South Wales
513,LF_4,Labour force status - Persons aged 15 years and over - Census,Unemployment rate (%),5.9,,6.3,,,,,4.9,,,New South Wales
695,QUALMIG_2,Level of highest educational attainment of persons born overseas - Census,Postgraduate degree level (%),,,10.4,,,,,13.2,,,New South Wales
696,QUALMIG_3,Level of highest educational attainment of persons born overseas - Census,Graduate diploma and graduate certificate level (%),,,1.6,,,,,2.0,,,New South Wales
697,QUALMIG_4,Level of highest educational attainment of persons born overseas - Census,Bachelor degree level (%),,,22.5,,,,,25.0,,,New South Wales
698,QUALMIG_5,Level of highest educational attainment of persons born overseas - Census,Advanced diploma and diploma level (%),,,9.8,,,,,10.4,,,New South Wales
699,QUALMIG_6,Level of highest educational attainment of persons born overseas - Census,Certificate level (%),,,9.8,,,,,9.3,,,New South Wales
700,QUALMIG_7,Level of highest educational attainment of persons born overseas - Census,School education level (%),,,36.0,,,,,31.0,,,New South Wales
701,QUALMIG_8,Level of highest educational attainment of persons born overseas - Census,Education not stated (%),,,4.4,,,,,3.9,,,New South Wales
715,LFMIG_5,Labour force status of persons born overseas - Persons aged 15 years and over - Census,Unemployment rate (%),,,7.2,,,,,5.9,,,New South Wales
983,ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),43.4,,41.1,,,,,41.3,,,Tasmania
984,ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),20.5,,21.2,,,,,22.2,,,Tasmania
985,ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),36.1,,37.7,,,,,36.4,,,Tasmania
986,ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (Closing the Gap measure) (%),54.9,,62.7,,,,,68.1,,,Tasmania
1011,ING_DISAB3,Disability status,Schooling/employment restriction only (no.),,,,,,1836.0,,,,,Tasmania
1071,CABEE_22,Number of businesses by industry - at 30 June,Education and training (no.),,,,,,401.0,464.0,493.0,541.0,551.0,Tasmania
1132,EMP_IND_2,Industry of employment - Persons aged 15 years and over - Census,"Agriculture, forestry and fishing (%)",4.8,,5.3,,,,,5.3,,,Tasmania
1133,EMP_IND_3,Industry of employment - Persons aged 15 years and over - Census,Mining (%),1.3,,1.0,,,,,1.0,,,Tasmania
1134,EMP_IND_4,Industry of employment - Persons aged 15 years and over - Census,Manufacturing (%),8.7,,6.9,,,,,6.4,,,Tasmania
1135,EMP_IND_5,Industry of employment - Persons aged 15 years and over - Census,"Electricity, gas, water and waste services (%)",1.7,,1.6,,,,,1.8,,,Tasmania
1136,EMP_IND_6,Industry of employment - Persons aged 15 years and over - Census,Construction (%),7.6,,7.6,,,,,8.6,,,Tasmania
1137,EMP_IND_7,Industry of employment - Persons aged 15 years and over - Census,Wholesale trade (%),3.3,,2.2,,,,,2.2,,,Tasmania
1138,EMP_IND_8,Industry of employment - Persons aged 15 years and over - Census,Retail trade (%),11.3,,10.9,,,,,9.6,,,Tasmania
1139,EMP_IND_9,Industry of employment - Persons aged 15 years and over - Census,Accommodation and food services (%),7.3,,7.6,,,,,7.6,,,Tasmania
1140,EMP_IND_10,Industry of employment - Persons aged 15 years and over - Census,"Transport, postal and warehousing (%)",4.3,,4.2,,,,,4.1,,,Tasmania
1141,EMP_IND_11,Industry of employment - Persons aged 15 years and over - Census,Information media and telecommunications (%),1.5,,1.4,,,,,1.0,,,Tasmania
1142,EMP_IND_12,Industry of employment - Persons aged 15 years and over - Census,Financial and insurance services (%),2.4,,2.1,,,,,1.9,,,Tasmania
1143,EMP_IND_13,Industry of employment - Persons aged 15 years and over - Census,"Rental, hiring and real estate services (%)",1.3,,1.2,,,,,1.1,,,Tasmania
1144,EMP_IND_14,Industry of employment - Persons aged 15 years and over - Census,"Professional, scientific and technical services (%)",4.7,,4.7,,,,,5.1,,,Tasmania
1145,EMP_IND_15,Industry of employment - Persons aged 15 years and over - Census,Administrative and support services (%),2.7,,3.0,,,,,2.9,,,Tasmania
1146,EMP_IND_16,Industry of employment - Persons aged 15 years and over - Census,Public administration and safety (%),9.0,,7.8,,,,,7.3,,,Tasmania
1147,EMP_IND_17,Industry of employment - Persons aged 15 years and over - Census,Education and training (%),9.0,,9.3,,,,,9.4,,,Tasmania
1148,EMP_IND_18,Industry of employment - Persons aged 15 years and over - Census,Health care and social assistance (%),12.0,,14.2,,,,,16.4,,,Tasmania
1149,EMP_IND_19,Industry of employment - Persons aged 15 years and over - Census,Arts and recreation services (%),1.6,,1.9,,,,,1.8,,,Tasmania
1150,EMP_IND_20,Industry of employment - Persons aged 15 years and over - Census,Other services (%),3.7,,3.7,,,,,3.8,,,Tasmania
1151,EMP_IND_22,Industry of employment - Persons aged 15 years and over - Census,Industry of employment inadequately described or not stated (%),2.0,,3.4,,,,,2.8,,,Tasmania
1152,EMP_IND_21,Industry of employment - Persons aged 15 years and over - Census,Total persons employed aged 15 years and over (no.),217297.0,,216584.0,,,,,254722.0,,,Tasmania
1238,HELP_2,Higher Education Loan Program (HELP) - year ended 30 June,Persons who made a HELP repayment (no.),,,,9424.0,9682.0,12854.0,16507.0,18455.0,19560.0,,Tasmania
1257,LEED_20,Jobs in Australia - year ended 30 June,Number of employee jobs - education and training,,,31797.0,31979.0,32404.0,33507.0,34715.0,,,,Tasmania
1269,SCHOOL_2,Non-school qualifications - Persons aged 15 years and over - Census,Total persons with non-school qualification(s) (%),51.3,,55.7,,,,,60.0,,,Tasmania
1270,SCHOOL_3,Non-school qualifications - Persons aged 15 years and over - Census,Postgraduate degree (%),2.4,,3.2,,,,,5.9,,,Tasmania
1271,SCHOOL_4,Non-school qualifications - Persons aged 15 years and over - Census,Graduate diploma/graduate certificate (%),1.5,,1.8,,,,,2.2,,,Tasmania
1272,SCHOOL_5,Non-school qualifications - Persons aged 15 years and over - Census,Bachelor degree (%),10.3,,11.2,,,,,13.8,,,Tasmania
1273,SCHOOL_6,Non-school qualifications - Persons aged 15 years and over - Census,Advanced diploma/diploma (%),6.6,,7.5,,,,,7.9,,,Tasmania
1274,SCHOOL_7,Non-school qualifications - Persons aged 15 years and over - Census,Certificate (%),20.2,,21.3,,,,,21.9,,,Tasmania
1275,SCHOOL_9,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification inadequately described (%),1.0,,0.7,,,,,0.6,,,Tasmania
1276,SCHOOL_10,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification not stated (%),9.2,,10.0,,,,,7.7,,,Tasmania
1277,FIELD_2,Non-school qualification: field of study - Persons aged 15 years and over - Census,Natural and physical sciences (%),2.8,,2.8,,,,,3.0,,,Tasmania
1278,FIELD_3,Non-school qualification: field of study - Persons aged 15 years and over - Census,Information technology (%),1.9,,1.9,,,,,2.7,,,Tasmania
1279,FIELD_4,Non-school qualification: field of study - Persons aged 15 years and over - Census,Engineering and related technologies (%),15.9,,14.5,,,,,13.0,,,Tasmania
1280,FIELD_5,Non-school qualification: field of study - Persons aged 15 years and over - Census,Architecture and building (%),6.6,,6.2,,,,,5.8,,,Tasmania
1281,FIELD_6,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Agriculture, environmental and related studies (%)",3.1,,3.0,,,,,3.0,,,Tasmania
1282,FIELD_7,Non-school qualification: field of study - Persons aged 15 years and over - Census,Health (%),9.7,,10.0,,,,,10.9,,,Tasmania
1283,FIELD_8,Non-school qualification: field of study - Persons aged 15 years and over - Census,Education (%),8.2,,8.3,,,,,8.4,,,Tasmania
1284,FIELD_9,Non-school qualification: field of study - Persons aged 15 years and over - Census,Management and commerce (%),14.3,,14.4,,,,,17.3,,,Tasmania
1285,FIELD_10,Non-school qualification: field of study - Persons aged 15 years and over - Census,Society and culture (%),10.8,,11.9,,,,,12.7,,,Tasmania
1286,FIELD_11,Non-school qualification: field of study - Persons aged 15 years and over - Census,Creative arts (%),2.8,,2.9,,,,,3.2,,,Tasmania
1287,FIELD_12,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Food, hospitality and personal services (%)",5.9,,5.7,,,,,5.5,,,Tasmania
1288,FIELD_13,Non-school qualification: field of study - Persons aged 15 years and over - Census,Mixed field programmes (%),0.1,,0.3,,,,,0.1,,,Tasmania
1289,FIELD_15,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study inadequately described (%),1.2,,1.2,,,,,1.4,,,Tasmania
1290,FIELD_16,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study not stated (%),16.8,,16.8,,,,,12.8,,,Tasmania
1304,LF_4,Labour force status - Persons aged 15 years and over - Census,Unemployment rate (%),6.4,,7.0,,,,,5.9,,,Tasmania
1486,QUALMIG_2,Level of highest educational attainment of persons born overseas - Census,Postgraduate degree level (%),,,9.1,,,,,18.5,,,Tasmania
1487,QUALMIG_3,Level of highest educational attainment of persons born overseas - Census,Graduate diploma and graduate certificate level (%),,,2.5,,,,,2.6,,,Tasmania
1488,QUALMIG_4,Level of highest educational attainment of persons born overseas - Census,Bachelor degree level (%),,,18.8,,,,,24.2,,,Tasmania
1489,QUALMIG_5,Level of highest educational attainment of persons born overseas - Census,Advanced diploma and diploma level (%),,,10.8,,,,,10.0,,,Tasmania
1490,QUALMIG_6,Level of highest educational attainment of persons born overseas - Census,Certificate level (%),,,13.9,,,,,11.2,,,Tasmania
1491,QUALMIG_7,Level of highest educational attainment of persons born overseas - Census,School education level (%),,,34.5,,,,,25.4,,,Tasmania
1492,QUALMIG_8,Level of highest educational attainment of persons born overseas - Census,Education not stated (%),,,5.5,,,,,3.9,,,Tasmania
1506,LFMIG_5,Labour force status of persons born overseas - Persons aged 15 years and over - Census,Unemployment rate (%),,,8.4,,,,,7.6,,,Tasmania
1771,ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),37.9,,38.0,,,,,37.5,,,South Australia
1772,ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),17.1,,17.3,,,,,18.7,,,South Australia
1773,ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),45.1,,44.6,,,,,43.8,,,South Australia
1774,ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (Closing the Gap measure) (%),48.0,,61.4,,,,,64.6,,,South Australia
1799,ING_DISAB3,Disability status,Schooling/employment restriction only (no.),,,,,,3100.0,,,,,South Australia
1859,CABEE_22,Number of businesses by industry - at 30 June,Education and training (no.),,,,,,1650.0,1663.0,1815.0,2017.0,2054.0,South Australia
1919,EMP_IND_2,Industry of employment - Persons aged 15 years and over - Census,"Agriculture, forestry and fishing (%)",3.9,,4.0,,,,,3.8,,,South Australia
1920,EMP_IND_3,Industry of employment - Persons aged 15 years and over - Census,Mining (%),1.3,,1.2,,,,,1.3,,,South Australia
1921,EMP_IND_4,Industry of employment - Persons aged 15 years and over - Census,Manufacturing (%),10.5,,8.0,,,,,7.2,,,South Australia
1922,EMP_IND_5,Industry of employment - Persons aged 15 years and over - Census,"Electricity, gas, water and waste services (%)",1.3,,1.2,,,,,1.3,,,South Australia
1923,EMP_IND_6,Industry of employment - Persons aged 15 years and over - Census,Construction (%),7.5,,7.6,,,,,8.3,,,South Australia
1924,EMP_IND_7,Industry of employment - Persons aged 15 years and over - Census,Wholesale trade (%),3.5,,2.8,,,,,2.4,,,South Australia
1925,EMP_IND_8,Industry of employment - Persons aged 15 years and over - Census,Retail trade (%),11.2,,10.7,,,,,9.7,,,South Australia
1926,EMP_IND_9,Industry of employment - Persons aged 15 years and over - Census,Accommodation and food services (%),6.3,,6.7,,,,,6.6,,,South Australia
1927,EMP_IND_10,Industry of employment - Persons aged 15 years and over - Census,"Transport, postal and warehousing (%)",4.2,,4.1,,,,,4.1,,,South Australia
1928,EMP_IND_11,Industry of employment - Persons aged 15 years and over - Census,Information media and telecommunications (%),1.4,,1.3,,,,,1.0,,,South Australia
1929,EMP_IND_12,Industry of employment - Persons aged 15 years and over - Census,Financial and insurance services (%),3.0,,2.7,,,,,2.8,,,South Australia
1930,EMP_IND_13,Industry of employment - Persons aged 15 years and over - Census,"Rental, hiring and real estate services (%)",1.3,,1.3,,,,,1.2,,,South Australia
1931,EMP_IND_14,Industry of employment - Persons aged 15 years and over - Census,"Professional, scientific and technical services (%)",5.5,,5.6,,,,,6.2,,,South Australia
1932,EMP_IND_15,Industry of employment - Persons aged 15 years and over - Census,Administrative and support services (%),3.4,,3.6,,,,,3.8,,,South Australia
1933,EMP_IND_16,Industry of employment - Persons aged 15 years and over - Census,Public administration and safety (%),7.1,,7.1,,,,,6.7,,,South Australia
1934,EMP_IND_17,Industry of employment - Persons aged 15 years and over - Census,Education and training (%),7.9,,8.6,,,,,8.8,,,South Australia
1935,EMP_IND_18,Industry of employment - Persons aged 15 years and over - Census,Health care and social assistance (%),13.6,,14.8,,,,,16.4,,,South Australia
1936,EMP_IND_19,Industry of employment - Persons aged 15 years and over - Census,Arts and recreation services (%),1.3,,1.4,,,,,1.4,,,South Australia
1937,EMP_IND_20,Industry of employment - Persons aged 15 years and over - Census,Other services (%),3.9,,3.9,,,,,3.9,,,South Australia
1938,EMP_IND_22,Industry of employment - Persons aged 15 years and over - Census,Industry of employment inadequately described or not stated (%),1.9,,3.3,,,,,3.3,,,South Australia
1939,EMP_IND_21,Industry of employment - Persons aged 15 years and over - Census,Total persons employed aged 15 years and over (no.),739359.0,,746105.0,,,,,839414.0,,,South Australia
2025,HELP_2,Higher Education Loan Program (HELP) - year ended 30 June,Persons who made a HELP repayment (no.),,,,36511.0,38399.0,50593.0,65807.0,73191.0,77821.0,,South Australia
2044,LEED_20,Jobs in Australia - year ended 30 June,Number of employee jobs - education and training,,,100236.0,100894.0,104328.0,101694.0,105009.0,,,,South Australia
2056,SCHOOL_2,Non-school qualifications - Persons aged 15 years and over - Census,Total persons with non-school qualification(s) (%),51.9,,56.3,,,,,59.2,,,South Australia
2057,SCHOOL_3,Non-school qualifications - Persons aged 15 years and over - Census,Postgraduate degree (%),2.7,,3.7,,,,,5.2,,,South Australia
2058,SCHOOL_4,Non-school qualifications - Persons aged 15 years and over - Census,Graduate diploma/graduate certificate (%),1.5,,1.8,,,,,2.2,,,South Australia
2059,SCHOOL_5,Non-school qualifications - Persons aged 15 years and over - Census,Bachelor degree (%),11.6,,13.0,,,,,15.2,,,South Australia
2060,SCHOOL_6,Non-school qualifications - Persons aged 15 years and over - Census,Advanced diploma/diploma (%),7.3,,8.3,,,,,8.6,,,South Australia
2061,SCHOOL_7,Non-school qualifications - Persons aged 15 years and over - Census,Certificate (%),18.8,,20.1,,,,,20.7,,,South Australia
2062,SCHOOL_9,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification inadequately described (%),1.1,,0.8,,,,,0.6,,,South Australia
2063,SCHOOL_10,Non-school qualifications - Persons aged 15 years and over - Census,Non-school qualification not stated (%),8.9,,8.5,,,,,6.6,,,South Australia
2064,FIELD_2,Non-school qualification: field of study - Persons aged 15 years and over - Census,Natural and physical sciences (%),2.8,,2.9,,,,,3.0,,,South Australia
2065,FIELD_3,Non-school qualification: field of study - Persons aged 15 years and over - Census,Information technology (%),2.2,,2.2,,,,,2.8,,,South Australia
2066,FIELD_4,Non-school qualification: field of study - Persons aged 15 years and over - Census,Engineering and related technologies (%),16.8,,15.8,,,,,14.6,,,South Australia
2067,FIELD_5,Non-school qualification: field of study - Persons aged 15 years and over - Census,Architecture and building (%),5.0,,5.0,,,,,4.8,,,South Australia
2068,FIELD_6,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Agriculture, environmental and related studies (%)",2.4,,2.4,,,,,2.4,,,South Australia
2069,FIELD_7,Non-school qualification: field of study - Persons aged 15 years and over - Census,Health (%),10.8,,11.2,,,,,12.2,,,South Australia
2070,FIELD_8,Non-school qualification: field of study - Persons aged 15 years and over - Census,Education (%),7.3,,7.6,,,,,8.1,,,South Australia
2071,FIELD_9,Non-school qualification: field of study - Persons aged 15 years and over - Census,Management and commerce (%),16.2,,17.0,,,,,17.9,,,South Australia
2072,FIELD_10,Non-school qualification: field of study - Persons aged 15 years and over - Census,Society and culture (%),11.0,,12.2,,,,,13.2,,,South Australia
2073,FIELD_11,Non-school qualification: field of study - Persons aged 15 years and over - Census,Creative arts (%),2.8,,2.8,,,,,3.2,,,South Australia
2074,FIELD_12,Non-school qualification: field of study - Persons aged 15 years and over - Census,"Food, hospitality and personal services (%)",5.2,,5.2,,,,,5.2,,,South Australia
2075,FIELD_13,Non-school qualification: field of study - Persons aged 15 years and over - Census,Mixed field programmes (%),0.2,,0.3,,,,,0.1,,,South Australia
2076,FIELD_15,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study inadequately described (%),1.2,,1.2,,,,,1.5,,,South Australia
2077,FIELD_16,Non-school qualification: field of study - Persons aged 15 years and over - Census,Field of study not stated (%),16.2,,14.1,,,,,11.0,,,South Australia
2091,LF_4,Labour force status - Persons aged 15 years and over - Census,Unemployment rate (%),5.7,,7.5,,,,,5.4,,,South Australia
2273,QUALMIG_2,Level of highest educational attainment of persons born overseas - Census,Postgraduate degree level (%),,,7.4,,,,,10.6,,,South Australia
2274,QUALMIG_3,Level of highest educational attainment of persons born overseas - Census,Graduate diploma and graduate certificate level (%),,,1.7,,,,,2.1,,,South Australia
2275,QUALMIG_4,Level of highest educational attainment of persons born overseas - Census,Bachelor degree level (%),,,17.2,,,,,20.2,,,South Australia
2276,QUALMIG_5,Level of highest educational attainment of persons born overseas - Census,Advanced diploma and diploma level (%),,,9.3,,,,,9.7,,,South Australia
2277,QUALMIG_6,Level of highest educational attainment of persons born overseas - Census,Certificate level (%),,,13.7,,,,,13.0,,,South Australia
2278,QUALMIG_7,Level of highest educational attainment of persons born overseas - Census,School education level (%),,,40.2,,,,,35.5,,,South Australia
2279,QUALMIG_8,Level of highest educational attainment of persons born overseas - Census,Education not stated (%),,,5.1,,,,,3.8,,,South Australia
2293,LFMIG_5,Labour force status of persons born overseas - Persons aged 15 years and over - Census,Unemployment rate (%),,,9.3,,,,,5.9,,,South Australia
2557,ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),45.4,,46.0,,,,,47.0,,,Victoria
2558,ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),17.6,,18.0,,,,,19.1,,,Victoria
2559,ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),37.0,,36.0,,,,,33.9,,,Victoria
2560,ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (Closing the Gap measure) (%),59.6,,69.6,,,,,72.6,,,Victoria
2585,ING_DISAB3,Disability status,Schooling/employment restriction only (no.),,,,,,4908.0,,,,,Victoria
2645,CABEE_22,Number of businesses by industry - at 30 June,Education and training (no.),,,,,,9176.0,9602.0,10020.0,11644.0,11395.0,Victoria
2706,EMP_IND_2,Industry of employment - Persons aged 15 years and over - Census,"Agriculture, forestry and fishing (%)",2.3,,2.2,,,,,2.1,,,Victoria
2707,EMP_IND_3,Industry of employment - Persons aged 15 years and over - Census,Mining (%),0.4,,0.3,,,,,0.3,,,Victoria
2708,EMP_IND_4,Industry of employment - Persons aged 15 years and over - Census,Manufacturing (%),10.7,,7.8,,,,,7.0,,,Victoria
2709,EMP_IND_5,Industry of employment - Persons aged 15 years and over - Census,"Electricity, gas, water and waste services (%)",1.1,,1.1,,,,,1.1,,,Victoria
2710,EMP_IND_6,Industry of employment - Persons aged 15 years and over - Census,Construction (%),8.3,,8.3,,,,,9.4,,,Victoria
2711,EMP_IND_7,Industry of employment - Persons aged 15 years and over - Census,Wholesale trade (%),4.5,,3.2,,,,,2.8,,,Victoria
2712,EMP_IND_8,Industry of employment - Persons aged 15 years and over - Census,Retail trade (%),10.8,,10.2,,,,,9.4,,,Victoria
2713,EMP_IND_9,Industry of employment - Persons aged 15 years and over - Census,Accommodation and food services (%),6.1,,6.6,,,,,6.2,,,Victoria
2714,EMP_IND_10,Industry of employment - Persons aged 15 years and over - Census,"Transport, postal and warehousing (%)",4.7,,4.8,,,,,4.7,,,Victoria
2715,EMP_IND_11,Industry of employment - Persons aged 15 years and over - Census,Information media and telecommunications (%),2.0,,1.9,,,,,1.6,,,Victoria
2716,EMP_IND_12,Industry of employment - Persons aged 15 years and over - Census,Financial and insurance services (%),4.1,,3.9,,,,,4.1,,,Victoria
2717,EMP_IND_13,Industry of employment - Persons aged 15 years and over - Census,"Rental, hiring and real estate services (%)",1.4,,1.6,,,,,1.5,,,Victoria
